Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
48,Tartumaa,4. klassis,"Jah, olen",Linnas,Paprika,Porgand,Kurk,Tomat,Kaalikas,Õun,Mustikad,Maasikad,Vaarikad,Jõhvikad,Jogurt,Joogipiim,Keefir,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem vähem,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
50,Viljandimaa,4. klassis,"Jah, olen",Maal,Kurk,Tomat,Nuikapsas ,Porgand,Leht- ja peasalat,Maasikad,Õun,Ploomid,Kirsid,Pirn,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Paar korda kuus,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
51,Hiiumaa,8. klassis,"Jah, olen",Linnas,Porgand,Kurk,Tomat,Paprika,Redis,Maasikad,Õun,Vaarikad,Mustad sõstrad,Kirsid,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
52,Viljandimaa,4. klassis,"Jah, olen",Linnas,Kurk,Leht- ja peasalat,Porgand,Paprika,Tomat,Maasikad,Mustad sõstrad,Vaarikad,Õun,Pirn,Jogurt,Joogipiim,,Iga päev,3-4 päeval nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem vähem,Sööb palju rohkem,Sööb pigem rohkem,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
54,Põlvamaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Tomat,Porgand,"Kapsas (valge, punane) ",Sibul,Maasikad,Vaarikad,Mustikad,Õun,Pirn,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem rohkem,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
55,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Spargelkapsas ehk brokoli,Lillkapsas,Porgand,Tomat,Herned,Maasikad,Mustikad,Vaarikad,Õun,Kirsid,Keefir,Jogurt,Hapupiim,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Vähemalt kord päevas,Pigem vajalik,Väga vajalik,Väga vajalik
56,Põlvamaa,4. klassis,Ei ole,Linna lähikonnas,Oad,"Suvikõrvits, kabatšokk","Kapsas (valge, punane) ",Porgand,Seller ,Pirn,Vaarikad,Maasikad,Õun,,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Iga päev,1-2 korda nädalas,Ei oska öelda,Ei oska öelda,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,,,
58,Põlvamaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Tomat,Porgand,"Kapsas (valge, punane) ",Herned,Maasikad,Mustikad,Vaarikad,Õun,Kirsid,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Paar korda kuus,Paar korda kuus,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
59,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Tomat,Sibul,"Suvikõrvits, kabatšokk",Oad,Maasikad,Mustikad,Mustad sõstrad,Õun,Vaarikad,Keefir,,,5-6 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Täiesti ebavajalik,Väga vajalik,Väga vajalik
60,Tartumaa,4. klassis,Ei ole,Linna lähikonnas,Tomat,Kurk,Herned,Lillkapsas,Oad,Õun,Maasikad,Kirsid,Mustikad,Ploomid,Joogipiim,Jogurt,Pett,Iga päev,Iga päev,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Paar korda kuus,Paar korda kuus,Ei ole muutusi,Sööb pigem vähem,Sööb pigem rohkem,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
62,Põlvamaa,4. klassis,"Jah, olen",Linnas,Porgand,"Kapsas (valge, punane) ",Kurk,Kaalikas,Tomat,Pirn,Õun,Mustikad,Maasikad,Vaarikad,Joogipiim,Jogurt,,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
63,Põlvamaa,4. klassis,"Jah, olen",Maal,Kurk,Sibul,Tomat,Porgand,Paprika,Maasikad,Murakad,Õun,Pirn,Jõhvikad,Joogipiim,Jogurt,,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
64,Hiiumaa,8. klassis,"Jah, olen",Maal,Kurk,Porgand,Tomat,Redis,Paprika,Õun,Maasikad,Punased sõstrad,Karusmarjad (tikrid),Mustad sõstrad,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
66,Hiiumaa,8. klassis,"Jah, olen",Maal,Herned,Porgand,Tomat,Paprika,Sibul,Õun,Pirn,Vaarikad,Maasikad,Mustikad,Joogipiim,Keefir,Jogurt,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,3-4 päeval nädalas,Paar korda kuus,Paar korda kuus,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem vähem,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
67,Harjumaa,4. klassis,"Jah, olen",Linnas,Kurk,Leht- ja peasalat,Porgand,Tomat,,Mustikad,Õun,Maasikad,Kirsid,Vaarikad,Joogipiim,,,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
68,Hiiumaa,8. klassis,"Jah, olen",Linnas,Paprika,Hiina kapsas,Kurk,Sibul,Lillkapsas,Mustikad,Maasikad,Õun,Pirn,Ploomid,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
69,Harjumaa,8. klassis,"Jah, olen",Maal,Kaalikas,"Kapsas (valge, punane) ",Kurk,Porgand,Tomat,Maasikad,Pirn,Õun,Mustikad,Ploomid,Joogipiim,Keefir,Jogurt,Iga päev,5-6 päeval nädalas,Paar korda kuus,5-6 päeval nädalas,Paar korda kuus,Ei oska öelda,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
71,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Paprika,Porgand,Sibul,Kurk,Hiina kapsas,Õun,Pirn,Maasikad,Mustad sõstrad,Vaarikad,Joogipiim,Jogurt,,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
72,Jõgevamaa,8. klassis,"Jah, olen",Maal,Porgand,Kurk,Paprika,Tomat,"Kapsas (valge, punane) ",Mustikad,Mustad sõstrad,Pirn,Maasikad,Õun,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,Iga päev,3-4 päeval nädalas,Iga päev,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
73,Jõgevamaa,8. klassis,"Jah, olen",Linna lähikonnas,Sibul,Kurk,Herned,Paprika,,Ploomid,Maasikad,Pirn,Õun,Vaarikad,Joogipiim,Jogurt,,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
75,Jõgevamaa,11. klassis,"Jah, olen",Linnas,Kurk,Kõrvits ,Tomat,Porgand,Sibul,Maasikad,Õun,Pirn,Ploomid,Vaarikad,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Pigem vajalik
76,Tartumaa,8. klassis,Ei ole,Linna lähikonnas,Herned,Kurk,Porgand,Tomat,Peet,Mustad sõstrad,Mustikad,Pirn,Õun,,Joogipiim,Jogurt,,5-6 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
77,Harjumaa,4. klassis,Ei ole,Maal,Hiina kapsas,Kaalikas,Kurk,Porgand,Sibul,Maasikad,Vaarikad,Õun,Kirsid,Karusmarjad (tikrid),Jogurt,Joogipiim,Keefir,1-2 korda nädalas,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,3-4 päeval nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem rohkem,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
79,Jõgevamaa,8. klassis,Ei ole,Maal,Porgand,Kurk,Tomat,Herned,Leht- ja peasalat,Maasikad,Õun,Ploomid,Karusmarjad (tikrid),Punased sõstrad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb palju rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Pigem ebavajalik
80,Põlvamaa,4. klassis,"Jah, olen",Maal,Kurk,Tomat,Sibul,Porgand,Paprika,Õun,Pirn,Maasikad,Mustikad,Ploomid,Joogipiim,Keefir,Jogurt,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
81,Jõgevamaa,8. klassis,"Jah, olen",Maal,Tomat,Kurk,Lillkapsas,Oad,Lehtkapsas ,Õun,Mustikad,Maasikad,Pirn,Vaarikad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,5-6 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
83,Harjumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Porgand,Lillkapsas,Paprika,Tomat,Maasikad,Vaarikad,Mustikad,Õun,Ploomid,Jogurt,Joogipiim,,3-4 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Väga vajalik
84,Põlvamaa,4. klassis,"Jah, olen",Linnas,Kurk,Leht- ja peasalat,Porgand,Tomat,,Karusmarjad (tikrid),Kirsid,Õun,Maasikad,,Joogipiim,Jogurt,,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
85,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,"Kapsas (valge, punane) ",Leht- ja peasalat,Porgand,Paprika,Maasikad,Õun,Vaarikad,Mustikad,Mustad sõstrad,Joogipiim,,,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
87,Järvamaa,4. klassis,"Jah, olen",Maal,Porgand,Tomat,Lillkapsas,Sibul,Peet,Maasikad,Õun,Vaarikad,Pirn,Mustikad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb palju rohkem,Sööb palju rohkem,Sööb pigem rohkem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
88,Harjumaa,4. klassis,Ei ole,Linna lähikonnas,Tomat,Porgand,Paprika,Lillkapsas,Kurk,Astelpaju marjad,Maasikad,Mustikad,Õun,Vaarikad,Joogipiim,Jogurt,Pett,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Vähemalt kord päevas,Pigem vajalik,Pigem vajalik,Pigem vajalik
89,Harjumaa,4. klassis,Ei ole,Linna lähikonnas,Kurk,Kõrvits ,Porgand,Tomat,"Suvikõrvits, kabatšokk",Mustikad,Pirn,Vaarikad,Õun,Maasikad,Joogipiim,Jogurt,,5-6 päeval nädalas,Iga päev,3-4 päeval nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Paar korda kuus,Ei oska öelda,Sööb pigem rohkem,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
91,Harjumaa,8. klassis,Ei oska öelda,Maal,Paprika,Porgand,Kurk,"Kapsas (valge, punane) ",Lillkapsas,Õun,Maasikad,Mustikad,Pirn,Vaarikad,Joogipiim,,,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei oska öelda,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem vähem,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
92,Harjumaa,11. klassis,"Jah, olen",Maal,Kurk,Leht- ja peasalat,Porgand,Tomat,Sibul,Maasikad,Õun,Vaarikad,Mustikad,Mustad sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
93,Harjumaa,8. klassis,"Jah, olen",Maal,Oad,Tomat,"Suvikõrvits, kabatšokk",Kurk,Hiina kapsas,Maasikad,Mustikad,Õun,Vaarikad,,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem vähem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
95,Harjumaa,4. klassis,"Jah, olen",Maal,Porgand,Kurk,Lillkapsas,Kaalikas,Peet,Õun,Vaarikad,Mustad sõstrad,Maasikad,Astelpaju marjad,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,3-4 päeval nädalas,Sööb palju rohkem,Sööb palju rohkem,Sööb palju rohkem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
96,Harjumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Porgand,Tomat,,,Kirsid,Maasikad,Mustikad,Pohlad,Õun,Jogurt,,,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem vähem,Vähemalt kord päevas,Pigem vajalik,Väga vajalik,Pigem vajalik
97,Harjumaa,4. klassis,"Jah, olen",Maal,Kurk,Kõrvits ,"Kapsas (valge, punane) ",Peet,Porgand,Maasikad,Pirn,Õun,,,Jogurt,Joogipiim,,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
99,Hiiumaa,8. klassis,Ei ole,Maal,Kurk,Porgand,Herned,Paprika,Redis,Mustikad,Maasikad,Vaarikad,Pirn,Õun,Joogipiim,Jogurt,,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei oska öelda,Ei oska öelda,Iga päev,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
100,Põlvamaa,4. klassis,Ei ole,Maal,Kurk,Kõrvits ,Paprika,Porgand,Tomat,Maasikad,Mustikad,Pirn,Õun,Vaarikad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb palju rohkem,Sööb palju rohkem,Sööb palju rohkem,Kord kuus,Pigem ebavajalik,Pigem ebavajalik,Pigem ebavajalik
101,Harjumaa,11. klassis,"Jah, olen",Maal,Porgand,Herned,Kurk,Tomat,,Maasikad,Õun,Mustikad,Vaarikad,,Joogipiim,Jogurt,,5-6 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
103,Jõgevamaa,8. klassis,"Jah, olen",Linna lähikonnas,Tomat,Nuikapsas ,Kurk,Porgand,Paprika,Õun,Pirn,Maasikad,Mustikad,Ploomid,Joogipiim,Jogurt,,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem rohkem,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
104,Harjumaa,4. klassis,Ei ole,Maal,Kurk,Nuikapsas ,Herned,Tomat,Porgand,Maasikad,Mustikad,Vaarikad,,,Joogipiim,Jogurt,,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
105,Hiiumaa,8. klassis,Ei ole,Linnas,Kurk,Leht- ja peasalat,Paprika,Tomat,Redis,Vaarikad,Maasikad,Mustikad,Õun,Ploomid,Joogipiim,,,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem rohkem,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Väga vajalik
106,Järvamaa,8. klassis,"Jah, olen",Maal,Kurk,Tomat,Lillkapsas,Porgand,"Kapsas (valge, punane) ",Õun,Vaarikad,Pirn,Mustikad,Karusmarjad (tikrid),Joogipiim,Jogurt,Pett,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Paar korda kuus,Paar korda kuus,Sööb palju rohkem,Sööb palju rohkem,Sööb pigem rohkem,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
